no;nr;year;agric;black;bus;construc;ent;exper;fin;hisp;poorhlth;hours;manuf;married;min;nrthcen;nrtheast;occ1;occ2;occ3;occ4;occ5;occ6;occ7;occ8;occ9;per;pro;pub;rur;south;educ;tra;trad;union;lwage;d81;d82;d83;d84;d85;d86;d87;expersq;diff_lwage;diff_union
32;45;1987;0;0;0;1;0;9;0;0;0;2860;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2.13568902;0;0;0;0;0;0;1;81;0.393241644;0
33;110;1980;0;0;0;0;0;5;0;0;0;2080;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12;0;0;1;1.948774815;0;0;0;0;0;0;0;25;NA;NA
34;110;1981;0;0;0;0;0;6;0;0;0;2080;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;12;0;0;0;1.962259293;1;0;0;0;0;0;0;36;0.013484478;-1
35;110;1982;0;0;0;0;0;7;0;0;0;2639;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;1.963296771;0;1;0;0;0;0;0;49;0.001037478;0
36;110;1983;0;0;0;0;0;8;0;0;0;2223;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;12;0;0;0;2.202515602;0;0;1;0;0;0;0;64;0.239218831;0
37;110;1984;0;0;0;0;0;9;0;0;0;2150;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;2.134954214;0;0;0;1;0;0;0;81;-0.067561388;0
38;110;1985;0;0;1;0;0;10;0;0;0;1532;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2.125822783;0;0;0;0;1;0;0;100;-0.009131432;0
39;110;1986;0;0;0;0;0;11;1;0;0;2080;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;1.991016626;0;0;0;0;0;1;0;121;-0.134806156;0
40;110;1987;0;0;0;0;0;12;1;0;0;2080;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;12;0;0;0;2.112393379;0;0;0;0;0;0;1;144;0.121376753;0
41;120;1980;0;0;0;0;0;2;0;0;0;1025;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;0.258554876;0;0;0;0;0;0;0;4;NA;NA
42;120;1981;0;0;0;0;0;3;0;0;0;1496;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.319971681;1;0;0;0;0;0;0;9;1.061416805;0
43;120;1982;0;0;0;0;0;4;0;0;0;1394;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.462085247;0;1;0;0;0;0;0;16;0.142113566;0
44;120;1983;0;0;0;0;0;5;0;0;0;2924;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.32028687;0;0;1;0;0;0;0;25;-0.141798377;0
45;120;1984;0;0;0;0;1;6;0;0;0;3564;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;0;0;1.703646541;0;0;0;1;0;0;0;36;0.383359671;0
46;120;1985;0;0;0;0;0;7;0;0;0;3979;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;10;0;1;0;1.445803165;0;0;0;0;1;0;0;49;-0.257843375;0
47;120;1986;0;0;0;0;0;8;1;0;0;4351;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;1.806364059;0;0;0;0;0;1;0;64;0.360560894;0
48;120;1987;0;0;1;0;0;9;0;0;0;3568;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;0;0;2.148120165;0;0;0;0;0;0;1;81;0.341756105;0
49;126;1980;0;0;0;0;0;2;0;0;0;3115;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.737285495;0;0;0;0;0;0;0;4;NA;NA
50;126;1981;0;0;0;0;0;3;0;0;0;2735;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.989600897;1;0;0;0;0;0;0;9;0.252315402;0
51;126;1982;0;0;0;0;0;4;0;0;0;2390;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;2.189916849;0;1;0;0;0;0;0;16;0.200315952;0
52;126;1983;0;0;0;0;0;5;0;0;0;2340;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.855463266;0;0;1;0;0;0;0;25;-0.334453583;0
53;126;1984;0;0;0;0;0;6;0;0;0;2250;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.922437787;0;0;0;1;0;0;0;36;0.066974521;0
54;126;1985;0;0;0;0;0;7;0;0;0;2340;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;2.061023951;0;0;0;0;1;0;0;49;0.138586164;0
55;126;1986;0;0;0;0;0;8;0;0;0;2941;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;1.782201648;0;0;0;0;0;1;0;64;-0.278822303;0
56;126;1987;0;0;0;0;0;9;0;0;0;2847;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;13;0;1;0;2.414681673;0;0;0;0;0;0;1;81;0.632480025;0
57;150;1980;0;0;1;0;0;2;0;0;0;1876;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.208735347;0;0;0;0;0;0;0;4;NA;NA
58;150;1981;0;0;1;0;0;3;0;0;0;2327;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.194039702;1;0;0;0;0;0;0;9;-0.014695644;0
59;150;1982;0;0;1;0;0;4;0;0;0;2006;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.170440555;0;1;0;0;0;0;0;16;-0.023599148;0
60;150;1983;0;0;1;0;0;5;0;0;0;1826;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.097964525;0;0;1;0;0;0;0;25;-0.072476029;0
61;150;1984;0;0;1;0;0;6;0;0;0;3414;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;0.765816212;0;0;0;1;0;0;0;36;-0.332148314;0
62;150;1985;0;0;1;0;0;7;0;0;0;3928;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;0;1.119025946;0;0;0;0;1;0;0;49;0.353209734;0
63;150;1986;0;0;1;0;0;8;0;0;0;4000;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;12;0;0;0;1.119366765;0;0;0;0;0;1;0;64;0.000340819;0
64;150;1987;0;0;1;0;0;9;0;0;0;4992;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;12;0;0;1;0.831459522;0;0;0;0;0;0;1;81;-0.287907243;1
65;162;1980;0;0;0;0;0;2;0;0;0;1874;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;1;1;0.502470136;0;0;0;0;0;0;0;4;NA;NA
66;162;1981;0;0;0;0;0;3;0;0;0;1710;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;11;0;0;0;1.064912319;1;0;0;0;0;0;0;9;0.562442183;-1
67;162;1982;0;0;0;0;0;4;0;0;0;1488;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;1.189497948;0;1;0;0;0;0;0;16;0.124585629;0
68;162;1983;0;0;0;0;0;5;0;0;0;939;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;11;0;1;0;1.539888501;0;0;1;0;0;0;0;25;0.350390553;0
69;162;1984;0;0;0;0;0;6;0;0;0;1980;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;11;0;0;0;1.598286033;0;0;0;1;0;0;0;36;0.058397532;0
70;162;1985;0;0;0;0;0;7;0;0;0;2735;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.737320662;0;0;0;0;1;0;0;49;0.139034629;0
71;162;1986;0;0;0;0;0;8;0;0;0;2720;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.988455892;0;0;0;0;0;1;0;64;0.25113523;0
72;162;1987;0;0;0;0;0;9;0;0;0;2795;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;11;0;0;0;2.158678532;0;0;0;0;0;0;1;81;0.17022264;0
73;166;1980;0;0;0;0;0;2;0;0;0;1296;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;1;1.005293965;0;0;0;0;0;0;0;4;NA;NA
74;166;1981;0;0;0;0;0;3;0;0;0;1942;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;1;0.937687397;1;0;0;0;0;0;0;9;-0.067606568;0
75;166;1982;0;0;0;0;0;4;0;0;0;1245;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;10;0;1;1;1.367487669;0;1;0;0;0;0;0;16;0.429800272;0
76;166;1983;0;0;0;0;0;5;0;0;0;1196;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;1;1;1.378008723;0;0;1;0;0;0;0;25;0.010521054;0
77;166;1984;0;0;0;0;0;6;0;0;0;2387;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;0;1;1;1.170183539;0;0;0;1;0;0;0;36;-0.207825184;0
78;166;1985;0;0;0;0;0;7;0;0;0;2160;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;10;0;1;0;1.728221416;0;0;0;0;1;0;0;49;0.558037877;-1
79;166;1986;0;0;0;0;0;8;0;0;0;2336;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;10;0;1;0;1.709864736;0;0;0;0;0;1;0;64;-0.018356681;0
80;166;1987;0;0;0;0;0;9;0;0;0;2301;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;1;0;10;0;1;0;1.851074815;0;0;0;0;0;0;1;81;0.141210079;0
81;189;1980;0;0;0;0;0;2;0;0;0;520;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.130545378;0;0;0;0;0;0;0;4;NA;NA
82;189;1981;0;0;0;0;0;3;0;0;0;520;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0.83624804;1;0;0;0;0;0;0;9;-0.294297338;0
83;189;1982;0;0;0;0;0;4;0;0;0;520;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.467359781;0;1;0;0;0;0;0;16;0.631111741;0
84;189;1983;0;0;0;0;0;5;0;0;0;520;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.071483612;0;0;1;0;0;0;0;25;-0.395876169;0
85;189;1984;0;0;0;0;0;6;0;0;0;1400;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.445919514;0;0;0;1;0;0;0;36;0.374435902;0
86;189;1985;0;0;0;0;0;7;0;0;0;1754;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;1.685116291;0;0;0;0;1;0;0;49;0.239196777;0
87;189;1986;0;0;0;0;0;8;0;0;0;1840;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.686174989;0;0;0;0;0;1;0;64;0.001058698;0
88;189;1987;0;0;0;0;0;9;0;0;0;1872;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.755130291;0;0;0;0;0;0;1;81;0.068955302;0
89;193;1980;0;0;0;0;0;2;0;0;0;980;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.565691948;0;0;0;0;0;0;0;4;NA;NA
90;193;1981;0;0;0;0;0;3;0;0;0;925;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.493875265;1;0;0;0;0;0;0;9;0.928183317;0
91;193;1982;0;0;0;0;0;4;0;0;0;2187;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;1.822662115;0;1;0;0;0;0;0;16;-0.67121315;0
92;193;1983;0;0;0;0;0;5;0;0;0;2080;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.380336046;0;0;1;0;0;0;0;25;0.557673931;0
93;193;1984;0;0;0;0;0;6;0;0;0;2346;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.217128515;0;0;0;1;0;0;0;36;-0.163207531;0
94;193;1985;0;0;0;0;0;7;0;0;0;2487;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.272031546;0;0;0;0;1;0;0;49;0.05490303;0
95;193;1986;0;0;0;0;0;8;0;0;0;2328;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.353798628;0;0;0;0;0;1;0;64;0.081767082;0
96;193;1987;0;0;0;0;0;9;0;0;0;2132;1;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;2.429450035;0;0;0;0;0;0;1;81;0.075651407;0
97;209;1980;0;0;0;0;0;3;0;0;0;2340;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;1.918003201;0;0;0;0;0;0;0;9;NA;NA
98;209;1981;0;0;0;0;0;4;0;0;0;1935;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;0.765407741;1;0;0;0;0;0;0;16;-1.15259546;0
99;209;1982;0;0;0;0;0;5;0;0;0;2080;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;1.978185415;0;1;0;0;0;0;0;25;1.212777674;0
100;209;1983;0;0;0;0;0;6;0;0;0;2080;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;1;0;1.948553681;0;0;1;0;0;0;0;36;-0.029631734;0
101;209;1984;0;0;0;0;1;7;0;0;0;2280;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;11;0;0;0;2.037025928;0;0;0;1;0;0;0;49;0.088472247;0
102;209;1985;0;0;0;0;0;8;0;0;0;2520;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.902574778;0;0;0;0;1;0;0;64;-0.134451151;0
103;209;1986;0;0;0;0;0;9;0;0;0;2395;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;1;0;1.972603679;0;0;0;0;0;1;0;81;0.070028901;0
104;209;1987;0;0;0;0;1;10;0;0;0;2145;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2.186982155;0;0;0;0;0;0;1;100;0.214378476;0
105;212;1980;0;0;0;0;0;2;0;0;0;2080;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;11;0;0;0;1.78447175;0;0;0;0;0;0;0;4;NA;NA
106;212;1981;0;0;0;0;0;3;0;0;0;2080;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.179982662;1;0;0;0;0;0;0;9;0.395510912;0
107;212;1982;0;0;0;0;0;4;0;0;0;2110;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;1.963865399;0;1;0;0;0;0;0;16;-0.216117263;0
108;212;1983;0;0;0;0;0;5;0;0;0;2550;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.044932842;0;0;1;0;0;0;0;25;0.081067443;0
109;212;1984;0;0;0;0;0;6;0;0;0;2560;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;11;0;0;0;2.012861252;0;0;0;1;0;0;0;36;-0.03207159;0
110;212;1985;0;0;0;0;0;7;0;0;0;2704;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.096985817;0;0;0;0;1;0;0;49;0.084124565;0
111;212;1986;0;0;0;0;0;8;0;0;0;2856;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;0;2.143966198;0;0;0;0;0;1;0;64;0.046980381;0
112;212;1987;0;0;0;0;0;9;0;0;0;2912;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;11;0;0;1;2.24128437;0;0;0;0;0;0;1;81;0.097318172;1
113;218;1980;0;0;0;0;0;2;0;0;0;2080;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;2.013313293;0;0;0;0;0;0;0;4;NA;NA
114;218;1981;0;0;0;0;0;3;0;0;0;2530;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;1.962152481;1;0;0;0;0;0;0;9;-0.051160812;0
115;218;1982;0;0;0;0;0;4;0;0;0;2240;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;15;0;0;0;2.275640965;0;1;0;0;0;0;0;16;0.313488483;0
116;218;1983;0;0;1;0;0;5;0;0;0;2520;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.194917679;0;0;1;0;0;0;0;25;-0.080723286;0
117;218;1984;0;0;0;0;0;6;0;0;0;2405;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;15;0;0;0;2.428337336;0;0;0;1;0;0;0;36;0.233419657;0
118;218;1985;0;0;1;0;0;7;0;0;0;2130;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.723037004;0;0;0;0;1;0;0;49;0.294699669;0
119;218;1986;0;0;1;0;0;8;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2.966396332;0;0;0;0;0;1;0;64;0.243359327;0
120;218;1987;0;0;1;0;0;9;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;3.065051794;0;0;0;0;0;0;1;81;0.098655462;0
121;243;1980;0;0;0;0;0;4;0;0;0;2000;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;1;0;0;1.564181328;0;0;0;0;0;0;0;16;NA;NA
122;243;1981;0;0;0;0;0;5;0;0;0;2080;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1.683545828;1;0;0;0;0;0;0;25;0.1193645;0
123;243;1982;0;0;0;0;0;6;0;0;1;2080;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.690503359;0;1;0;0;0;0;0;36;0.006957531;0
124;243;1983;0;0;0;0;0;7;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.660871625;0;0;1;0;0;0;0;49;-0.029631734;0
125;243;1984;0;0;0;0;0;8;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.698050618;0;0;0;1;0;0;0;64;0.037178993;0
126;243;1985;0;0;0;0;0;9;0;0;0;2168;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.671768188;0;0;0;0;1;0;0;81;-0.02628243;0
127;243;1986;0;0;0;0;0;10;0;0;0;2161;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;12;0;0;0;1.635717511;0;0;0;0;0;1;0;100;-0.036050677;0
128;243;1987;0;0;0;0;0;11;0;0;0;2080;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;12;1;0;0;1.786970973;0;0;0;0;0;0;1;121;0.151253462;0
129;259;1980;0;0;0;0;0;3;0;0;0;1984;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;2.107189655;0;0;0;0;0;0;0;9;NA;NA
130;259;1981;0;0;0;0;0;4;0;0;0;2080;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;2.089010954;1;0;0;0;0;0;0;16;-0.018178701;0
131;259;1982;0;0;0;0;0;5;0;0;0;1755;1;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;1;2.042723894;0;1;0;0;0;0;0;25;-0.04628706;0
